ID,Ruderal,Species,FB,Max_Height,Flame_Strt,Flame_End,Flame_Total,Smld_Strt,Smld_End1,Smld_End,Smld_Total,Total_Time
AB1,Non-Ruderal,Aristida beyrichiana,8.10,34.29,24.00,157,133,157,253,229.00,96,229
AB2,Non-Ruderal,Aristida beyrichiana,7.14,38.10,47,155,108,155,202,155,47,155
AB3,Non-Ruderal,Aristida beyrichiana,8.89,39.37,22,115,93,115,166,144,51,144
AB4,Non-Ruderal,Aristida beyrichiana,10.00,46.99,33,142,109,142,203,170,61,170
AB5,Non-Ruderal,Aristida beyrichiana,9.27,49.53,9,98,89,98,237,228,139,228
AB6,Non-Ruderal,Aristida beyrichiana,6.99,48.26,11,123,112,123,212,201,89,201
AB7,Non-Ruderal,Aristida beyrichiana,7.46,46.99,9,121,112,121,192,183,71,183
AB8,Non-Ruderal,Aristida beyrichiana,7.46,45.72,12,124,112,124,195,183,71,183
AB9,Non-Ruderal,Aristida beyrichiana,7.62,41.91,13,115,102,115,164,151,49,151
AB10,Non-Ruderal,Aristida beyrichiana,7.78,39.37,12,116,104,116,224,212,108,212
AT1,Non-Ruderal,Andropogon ternarius,11.75,52.07,14,55,41,55,129,115,74,115
AT2,Non-Ruderal,Andropogon ternarius,11.02,39.37,29,146,117,146,182,153,36,153
AT3,Non-Ruderal,Andropogon ternarius,8.73,44.45,21,49,28,49,123,102,74,102
AT4,Non-Ruderal,Andropogon ternarius,13.14,50.80,12,78,66,78,210,198,132,198
AT5,Non-Ruderal,Andropogon ternarius,8.73,48.26,24,92,68,92,153,129,61,129
AT6,Non-Ruderal,Andropogon ternarius,16.99,52.07,16,63,47,63,116,100,53,100
AT7,Non-Ruderal,Andropogon ternarius,17.30,46.99,17,106,89,106,152,135,46,135
AT8,Non-Ruderal,Andropogon ternarius,12.45,48.26,15,82,67,82,172,157,90,157
AT9,Non-Ruderal,Andropogon ternarius,14.61,45.72,7,71,64,71,152,145,81,145
AT10,Non-Ruderal,Andropogon ternarius,12.38,54.61,18,71,53,71,137,119,66,119
AV1,Ruderal,Andropogon virginicus,10.16,36.83,18,100,82,100,171,153,71,153
AV2,Ruderal,Andropogon virginicus,7.94,24.13,10,152,142,152,211,201,59,201
AV3,Ruderal,Andropogon virginicus,12.54,43.18,18,141,123,141,175,157,34,157
AV4,Ruderal,Andropogon virginicus,16.67,49.53,0,100,100,100,179,179,79,179
AV5,Ruderal,Andropogon virginicus,12.07,44.45,16,96,80,96,128,112,32,112
AV6,Ruderal,Andropogon virginicus,11.33,40.64,14,92,78,92,199,185,107,185
AV7,Ruderal,Andropogon virginicus,6.83,35.56,10,98,88,98,205,195,107,195
AV8,Ruderal,Andropogon virginicus,8.26,40.64,6,86,80,86,137,131,51,131
AV9,Ruderal,Andropogon virginicus,11.11,39.37,5,64,59,64,114,109,50,109
AV10,Ruderal,Andropogon virginicus,8.89,36.83,11,95,84,95,155,144,60,144
AG1,Ruderal,Andropogon glomeratus,6.03,35.56,15,95,80,95,163,148,68,148
AG2,Ruderal,Andropogon glomeratus,11.11,40.64,5,113,108,113,172,167,59,167
AG3,Ruderal,Andropogon glomeratus,4.29,24.13,16,128,112,128,230,214,102,214
AG4,Ruderal,Andropogon glomeratus,2.54,20.32,5,110,105,110,147,142,37,142
AG5,Ruderal,Andropogon glomeratus,8.26,40.64,14,75,61,75,140,126,65,126
AG6,Ruderal,Andropogon glomeratus,5.40,38.10,11,116,105,116,185,174,69,174
AG7,Ruderal,Andropogon glomeratus,3.49,34.29,13,98,85,98,179,166,81,166
AG8,Ruderal,Andropogon glomeratus,6.19,36.83,5,88,83,88,143,138,55,138
AG9,Ruderal,Andropogon glomeratus,3.97,35.56,7,87,80,87,154,147,67,147
AG10,Ruderal,Andropogon glomeratus,6.51,40.64,6,98,92,98,148,142,50,142
SS1,Non-Ruderal,Sorghastrum secundum,2.86,13.97,6,158,152,158,210,204,52,204
SS2,Non-Ruderal,Sorghastrum secundum,2.54,16.51,16,174,158,174,232,216,58,216
SS3,Non-Ruderal,Sorghastrum secundum,5.24,24.13,8,118,110,118,213,205,95,205
SS4,Non-Ruderal,Sorghastrum secundum,6.03,25.40,7,145,138,145,220,213,75,213
SS5,Non-Ruderal,Sorghastrum secundum,5.87,35.56,10,90,80,90,180,170,90,170
SS6,Non-Ruderal,Sorghastrum secundum,6.03,30.48,12,74,62,74,175,163,101,163
SS7,Non-Ruderal,Sorghastrum secundum,7.46,34.29,13,92,79,92,178,165,86,165
SS8,Non-Ruderal,Sorghastrum secundum,7.30,33.02,4,101,97,101,204,200,103,200
SS9,Non-Ruderal,Sorghastrum secundum,10.80,39.37,11,75,64,75,174,163,99,163
SS10,Non-Ruderal,Sorghastrum secundum,8.26,33.02,12,110,98,110,190,178,80,178
SZ1,Non-Ruderal,Schizachyrium stoloniferum,11.91,43.18,15,58,43,58,118,103,60,103
SZ2,Non-Ruderal,Schizachyrium stoloniferum,8.73,35.56,16,82,66,82,185,169,103,169
SZ3,Non-Ruderal,Schizachyrium stoloniferum,8.26,44.45,18,80,62,80,181,163,101,163
SZ4,Non-Ruderal,Schizachyrium stoloniferum,9.53,41.91,11,82,71,82,165,154,83,154
SZ5,Non-Ruderal,Schizachyrium stoloniferum,10.16,36.83,8,72,64,72,162,154,90,154
SZ6,Non-Ruderal,Schizachyrium stoloniferum,8.57,38.10,14,99,85,99,158,144,59,144
SZ7,Non-Ruderal,Schizachyrium stoloniferum,12.07,36.83,12,70,58,70,143,131,73,131
SZ8,Non-Ruderal,Schizachyrium stoloniferum,13.18,44.45,16,76,60,76,176,160,100,160
SZ9,Non-Ruderal,Schizachyrium stoloniferum,11.75,35.56,12,95,83,95,203,191,108,191
SZ10,Non-Ruderal,Schizachyrium stoloniferum,10.48,43.18,3,80,77,80,158,155,78,155
SJ1,Non-Ruderal,Sprobulus juncus,8.26,50.80,34,120,86,120,201,167,81,167
SJ2,Non-Ruderal,Sprobulus juncus,6.03,43.18,10,80,70,80,200,190,120,190
SJ3,Non-Ruderal,Sprobulus juncus,7.94,38.10,16,122,106,122,220,204,98,204
SJ4,Non-Ruderal,Sprobulus juncus,8.26,45.72,18,84,66,84,190,172,106,172
SJ5,Non-Ruderal,Sprobulus juncus,10.32,38.10,22,154,132,154,272,250,118,250
SJ6,Non-Ruderal,Sprobulus juncus,6.83,38.10,16,105,89,105,312,296,207,296
SJ7,Non-Ruderal,Sprobulus juncus,8.57,34.29,12,110,98,110,254,242,144,242
SJ8,Non-Ruderal,Sprobulus juncus,9.68,38.10,12,92,80,92,188,176,96,176
SJ9,Non-Ruderal,Sprobulus juncus,8.41,35.56,14,149,135,149,240,226,91,226
SJ10,Non-Ruderal,Sprobulus juncus,10.80,40.64,14,103,89,103,180,166,77,166
EP1,Ruderal,Eustachys petraea,9.53,29.21,22,100,78,100,229,207,129,207
EP2,Ruderal,Eustachys petraea,7.94,36.83,16,83,67,83,210,194,127,194
EP3,Ruderal,Eustachys petraea,6.67,40.64,15,81,66,81,181,166,100,166
EP4,Ruderal,Eustachys petraea,8.89,44.45,20,97,77,97,172,152,75,152
EP5,Ruderal,Eustachys petraea,10.64,49.53,23,63,40,63,235,212,172,212
EP6,Ruderal,Eustachys petraea,6.83,40.64,11,102,91,102,171,160,69,160
EP7,Ruderal,Eustachys petraea,7.30,39.37,9,95,86,95,157,148,62,148
EP8,Ruderal,Eustachys petraea,6.03,45.72,11,81,70,81,156,145,75,145
EP9,Ruderal,Eustachys petraea,6.19,44.45,11,91,80,91,155,144,64,144
EP10,Ruderal,Eustachys petraea,7.30,45.72,11,115,104,115,162,151,47,151
ES1,Ruderal,Eragrostis spectabilis,12.22,45.72,17,78,61,78,173,156,95,156
ES2,Ruderal,Eragrostis spectabilis,13.65,53.34,16,79,63,79,176,160,97,160
ES3,Ruderal,Eragrostis spectabilis,11.43,57.15,18,90,72,90,135,117,45,117
ES4,Ruderal,Eragrostis spectabilis,9.53,53.34,45,92,47,92,188,143,96,143
ES5,Ruderal,Eragrostis spectabilis,11.91,55.88,38,85,47,85,215,177,130,177
ES6,Ruderal,Eragrostis spectabilis,7.75,45.72,13,119,106,119,178,165,59,165
ES7,Ruderal,Eragrostis spectabilis,13.65,52.07,16,53,37,53,88,72,35,72
ES8,Ruderal,Eragrostis spectabilis,12.22,55.88,11,62,51,62,138,127,76,127
ES9,Ruderal,Eragrostis spectabilis,11.27,44.45,12,86,74,86,199,187,113,187
ES10,Ruderal,Eragrostis spectabilis,10.95,53.34,17,74,57,74,137,120,63,120