ID,Ruderal,Species,Tare,Initial_Weight,FB_NE,FB_NW,FB_SE,FB_SW,FB,Hood_Humidity,Hood_Temp,Post_Weight,Post-Tare,Mass_Loss,Flame_Height,Flame_Duration,Flame_Spread,Smoldering_Time
AB1,Non-Ruderal,Aristida beyrichiana,5.19,10,3,3.5,3.25,3,3.19,55,75,6.63,1.44,85.60,,,,
AB2,Non-Ruderal,Aristida beyrichiana,5.42,10.07,3.5,3.25,2.75,1.75,2.81,60,75,6.44,1.02,89.87,,,,
AB3,Non-Ruderal,Aristida beyrichiana,6.38,10.05,4,4,3,3,3.50,60,75,7.28,0.9,91.04,,,,
AB4,Non-Ruderal,Aristida beyrichiana,5.41,10.01,4,5,3,3.75,3.94,61,75,6.53,1.12,88.81,,,,
AB5,Non-Ruderal,Aristida beyrichiana,5.5,10.04,3.8,3.75,3.25,3.8,3.65,60,77,6.8,1.3,87.05,,,,
AB6,Non-Ruderal,Aristida beyrichiana,6.69,10.01,2.75,3,2.5,2.75,2.75,22,68,7.8,1.11,88.91,,,,
AB7,Non-Ruderal,Aristida beyrichiana,4.88,10.03,2.75,3.25,3,2.75,2.94,24,70,6.1,1.22,87.84,,,,
AB8,Non-Ruderal,Aristida beyrichiana,4.8,10.02,2.75,3,3.25,2.75,2.94,22,70,5.6,0.8,92.02,,,,
AB9,Non-Ruderal,Aristida beyrichiana,4.96,10,3,2.75,3,3.25,3.00,24,70,5.8,0.84,91.60,,,,
AB10,Non-Ruderal,Aristida beyrichiana,6.1,10.01,2.75,3.25,3,3.25,3.06,23,70,7.8,1.7,83.02,,,,
AT1,Non-Ruderal,Andropogon ternarius,5.62,10.07,4.75,5.5,3.5,4.75,4.63,59,77,6.18,0.56,94.44,,,,
AT2,Non-Ruderal,Andropogon ternarius,5.37,10.08,4.5,5.25,2.75,4.85,4.34,59,77,6.38,1.01,89.98,,,,
AT3,Non-Ruderal,Andropogon ternarius,5.36,10.04,3,3.25,3.5,4,3.44,58,79,5.59,0.23,97.71,,,,
AT4,Non-Ruderal,Andropogon ternarius,5.38,10.04,3.75,5.85,5.85,5.25,5.18,57,77,6.29,0.91,90.94,,,,
AT5,Non-Ruderal,Andropogon ternarius,5.94,9.98,3.5,3.75,3.25,3.25,3.44,56,77,7.24,1.3,86.97,,,,
AT6,Non-Ruderal,Andropogon ternarius,5.95,10.03,7.25,6.75,6.25,6.5,6.69,25,68,7.3,1.35,86.54,,,,
AT7,Non-Ruderal,Andropogon ternarius,4.73,10.02,7.25,6.75,6.5,6.75,6.81,25,68,5.9,1.17,88.32,,,,
AT8,Non-Ruderal,Andropogon ternarius,4.72,10.02,4.25,5.25,5,5.1,4.90,22,68,6,1.28,87.23,,,,
AT9,Non-Ruderal,Andropogon ternarius,4.89,10.01,5.25,5.5,6.25,6,5.75,23,68,6,1.11,88.91,,,,
AT10,Non-Ruderal,Andropogon ternarius,5.72,10,3.75,5.25,5.75,4.75,4.88,22,68,7.3,1.58,84.20,,,,
AV1,Ruderal,Andropogon virginicus,5.45,10,5.5,2.5,5.5,2.5,4.00,56,77,6.04,0.59,94.10,,,,
AV2,Ruderal,Andropogon virginicus,5.78,10,2.5,5,1.5,3.5,3.13,55,77,7.13,1.35,86.50,,,,
AV3,Ruderal,Andropogon virginicus,5.47,10,5.75,4.5,4.25,5.25,4.94,55,77,6.26,0.79,92.10,,,,
AV4,Ruderal,Andropogon virginicus,5.38,10,6.5,6.25,7,6.5,6.56,55,78,7.38,2,80.00,,,,
AV5,Ruderal,Andropogon virginicus,5.39,10,5.5,3.5,5.5,4.5,4.75,53,79,5.79,0.4,96.00,,,,
AV6,Ruderal,Andropogon virginicus,4.67,10,5.25,4.25,4.1,4.25,4.46,20,75,5.6,0.93,90.70,,,,
AV7,Ruderal,Andropogon virginicus,4.63,9.99,2.5,3.25,2.75,2.25,2.69,22,70,5.3,0.67,93.29,,,,
AV8,Ruderal,Andropogon virginicus,4.83,9.99,3.25,3.5,3,3.25,3.25,24,68,5.4,0.57,94.29,,,,
AV9,Ruderal,Andropogon virginicus,6.61,9.99,4.25,4.5,4.75,4,4.38,24,68,7.2,0.59,94.09,,,,
AV10,Ruderal,Andropogon virginicus,5.61,10.3,4.25,2.5,4.5,2.75,3.50,25,68,6.8,1.19,88.45,,,,
AG1,Ruderal,Andropogon glomeratus,5.41,10,1.5,3.5,2,2.5,2.38,50,79,6.52,1.11,88.90,,,,
AG2,Ruderal,Andropogon glomeratus,5.47,10,5.25,4.25,3.5,4.5,4.38,50,79,7.6,2.13,78.70,,,,
AG3,Ruderal,Andropogon glomeratus,5.99,10,2.5,1,1.5,1.75,1.69,50,79,7.07,1.08,89.20,,,,
AG4,Ruderal,Andropogon glomeratus,5.66,10.01,1.5,1,0.5,1,1.00,50,79,7.2,1.54,84.62,,,,
AG5,Ruderal,Andropogon glomeratus,5.49,10,2.5,3.5,3.5,3.5,3.25,50,79,6.48,0.99,90.10,,,,
AG6,Ruderal,Andropogon glomeratus,6.24,10,2.25,2.5,2,1.75,2.13,22,70,7.4,1.16,88.40,,,,
AG7,Ruderal,Andropogon glomeratus,5.61,10.02,0.75,1.5,1.75,1.5,1.38,22,70,6.85,1.24,87.62,,,,
AG8,Ruderal,Andropogon glomeratus,5.48,10.01,2.75,2.25,2,2.75,2.44,22,70,6.66,1.18,88.21,,,,
AG9,Ruderal,Andropogon glomeratus,5.58,10,0.75,1.75,1.75,2,1.56,24,72,6.41,0.83,91.70,,,,
AG10,Ruderal,Andropogon glomeratus,5.72,10.01,3.25,1.75,2.5,2.75,2.56,22,72,7.09,1.37,86.31,,,,
SS1,Non-Ruderal,Sorghastrum secundum,5.61,10,1.25,1.25,1.25,0.75,1.13,50,79,7.08,1.47,85.30,,,,
SS2,Non-Ruderal,Sorghastrum secundum,6.66,10,0.5,0.75,1,1.75,1.00,50,79,8.6,1.94,80.60,,,,
SS3,Non-Ruderal,Sorghastrum secundum,5.55,10,1.25,2.25,2.5,2.25,2.06,50,79,6.9,1.35,86.50,,,,
SS4,Non-Ruderal,Sorghastrum secundum,5.72,10.01,2.5,2.75,2.5,1.75,2.38,50,79,7.1,1.38,86.21,,,,
SS5,Non-Ruderal,Sorghastrum secundum,6.74,10,1.5,2.5,2.5,2.75,2.31,50,79,7.5,0.76,92.40,,,,
SS6,Non-Ruderal,Sorghastrum secundum,5.52,10,2.25,2.5,2.5,2.25,2.38,22,70,8.6,3.08,69.20,,,,
SS7,Non-Ruderal,Sorghastrum secundum,5.81,10.02,2.5,3.25,3.5,2.5,2.94,24,70,7.1,1.29,87.13,,,,
SS8,Non-Ruderal,Sorghastrum secundum,4.9,9.99,2.5,3,2.75,3.25,2.88,24,70,6.3,1.4,85.99,,,,
SS9,Non-Ruderal,Sorghastrum secundum,4.92,10.02,4.5,4.75,4,3.75,4.25,24,70,5.7,0.78,92.22,,,,
SS10,Non-Ruderal,Sorghastrum secundum,5.15,10,3.25,3,3.25,3.5,3.25,24,70,6.5,1.35,86.50,,,,
SZ1,Non-Ruderal,Schizachyrium stoloniferum,5.74,10.04,4.75,4.75,4.5,4.75,4.69,50,79,6.5,0.76,92.43,,,,
SZ2,Non-Ruderal,Schizachyrium stoloniferum,6.05,10.05,3.25,5,3,2.5,3.44,49,79,6.9,0.85,91.54,,,,
SZ3,Non-Ruderal,Schizachyrium stoloniferum,5.62,10.04,4.5,3.5,2.5,2.5,3.25,48,79,6.4,0.78,92.23,,,,
SZ4,Non-Ruderal,Schizachyrium stoloniferum,5.44,10,4.5,2.5,3.5,4.5,3.75,49,79,6.1,0.66,93.40,,,,
SZ5,Non-Ruderal,Schizachyrium stoloniferum,5.65,10.04,4.5,3.5,4,4,4.00,49,79,6.4,0.75,92.53,,,,
SZ6,Non-Ruderal,Schizachyrium stoloniferum,4.84,10,3.75,3.25,3,3.5,3.38,22,70,6.6,1.76,82.40,,,,
SZ7,Non-Ruderal,Schizachyrium stoloniferum,5.06,10.02,4.5,4.25,5.25,5,4.75,22,70,5.5,0.44,95.61,,,,
SZ8,Non-Ruderal,Schizachyrium stoloniferum,6.14,10,4.5,5,5.75,5.5,5.19,22,70,6.6,0.46,95.40,,,,
SZ9,Non-Ruderal,Schizachyrium stoloniferum,5.49,10.01,5,4.5,4.75,4.25,4.63,22,70,6.5,1.01,89.91,,,,
SZ10,Non-Ruderal,Schizachyrium stoloniferum,5.68,10.02,3.75,4,4.5,4.25,4.13,24,70,6.7,1.02,89.82,,,,
SJ1,Non-Ruderal,Sprobulus juncus,5.64,10.03,2,2.75,4,4.25,3.25,49,77,7.1,1.46,85.44,,,,
SJ2,Non-Ruderal,Sprobulus juncus,5.49,10,2,2,2.5,3,2.38,49,79,7.6,2.11,78.90,,,,
SJ3,Non-Ruderal,Sprobulus juncus,6.06,10.03,2.5,3.5,3.5,3,3.13,48,79,8.7,2.64,73.68,,,,
SJ4,Non-Ruderal,Sprobulus juncus,6.67,10.01,2.5,3,3,4.5,3.25,48,79,10.1,3.43,65.73,,,,
SJ5,Non-Ruderal,Sprobulus juncus,5.45,10.02,4,4,4.5,3.75,4.06,48,79,7.5,2.05,79.54,,,,
SJ6,Non-Ruderal,Sprobulus juncus,5.44,10.03,2.5,2.75,3,2.5,2.69,24,70,7.8,2.36,76.47,,,,
SJ7,Non-Ruderal,Sprobulus juncus,4.93,10.01,3.25,3.5,3.5,3.25,3.38,22,70,7.7,2.77,72.33,,,,
SJ8,Non-Ruderal,Sprobulus juncus,5.82,10.01,4,4.25,3.5,3.5,3.81,22,70,9.4,3.58,64.24,,,,
SJ9,Non-Ruderal,Sprobulus juncus,5.44,10.01,3.75,2.75,3.25,3.5,3.31,22,70,7.6,2.16,78.42,,,,
SJ10,Non-Ruderal,Sprobulus juncus,5.44,9.99,4.25,4.5,4.75,3.5,4.25,22,70,8.4,2.96,70.37,,,,
EP1,Ruderal,Eustachys petraea,5.67,10.01,4,4,3.5,3.5,3.75,48,79,6.5,0.83,91.71,,,,
EP2,Ruderal,Eustachys petraea,5.58,10.02,4.25,2.5,3,2.75,3.13,49,79,6.2,0.62,93.81,,,,
EP3,Ruderal,Eustachys petraea,5.67,10.01,1.5,3.75,3.75,1.5,2.63,49,79,7.2,1.53,84.72,,,,
EP4,Ruderal,Eustachys petraea,6.05,10.03,3,3.5,3.5,4,3.50,49,79,7.2,1.15,88.53,,,,
EP5,Ruderal,Eustachys petraea,6.67,10.01,4,4.5,4.75,3.5,4.19,49,79,7.4,0.73,92.71,,,,
EP6,Ruderal,Eustachys petraea,4.93,10.01,2.5,2.75,2.5,3,2.69,24,68,6,1.07,89.31,,,,
EP7,Ruderal,Eustachys petraea,5.74,10.02,2.5,2.75,3.25,3,2.88,24,68,6.8,1.06,89.42,,,,
EP8,Ruderal,Eustachys petraea,5.46,10.02,2.25,2.5,2.5,2.25,2.38,22,68,6.8,1.34,86.63,,,,
EP9,Ruderal,Eustachys petraea,5.6,10,2.5,2.5,2.25,2.5,2.44,24,68,6.9,1.3,87.00,,,,
EP10,Ruderal,Eustachys petraea,5.36,10.01,2.75,3,3,2.75,2.88,24,68,6.3,0.94,90.61,,,,
ES1,Ruderal,Eragrostis spectabilis,5.48,10.05,4,4.5,5.5,5.25,4.81,49,79,6.2,0.72,92.84,,,,
ES2,Ruderal,Eragrostis spectabilis,5.73,10.02,4.75,5,5.75,6,5.38,49,79,6.6,0.87,91.32,,,,
ES3,Ruderal,Eragrostis spectabilis,6.14,10.02,4,4.5,4.5,5,4.50,50,79,6.7,0.56,94.41,,,,
ES4,Ruderal,Eragrostis spectabilis,6.76,10.02,5,4,3,3,3.75,50,79,7.4,0.64,93.61,,,,
ES5,Ruderal,Eragrostis spectabilis,5.79,10.04,5,5.25,4,4.5,4.69,51,79,6.3,0.51,94.92,,,,
ES6,Ruderal,Eragrostis spectabilis,6.08,10.01,2.2,2.25,4,3.75,3.05,25,68,7.3,1.22,87.81,,,,
ES7,Ruderal,Eragrostis spectabilis,6.67,10,4.5,6.5,6,4.5,5.38,25,68,7.5,0.83,91.70,,,,
ES8,Ruderal,Eragrostis spectabilis,4.78,10,5,5,4.25,5,4.81,25,68,5.8,1.02,89.80,,,,
ES9,Ruderal,Eragrostis spectabilis,4.75,10.03,4.5,4.5,4.25,4.5,4.44,24,68,5.5,0.75,92.52,,,,
ES10,Ruderal,Eragrostis spectabilis,5.41,10.01,4.25,4,4.5,4.5,4.31,24,68,5.8,0.39,96.10,,,,